Local authority / region code,Local authority / region name,"Oct-19
(25kW and above)","Jan-20
(25kW and above)","Apr-20
(25kW and above)","Jul-20
(25kW and above)","Oct-20
(25kW and above)","Jan-21
(25kW and above)","Apr-21
(25kW and above)","July-21
(25kW and above)","Oct-21
(25kW and above)","Jan-22
(25kW and above)","Apr-22
(25kW and above)","July-22
(25kW and above)","Oct-22
(25kW and above)","Jan-23
(25kW and above)","Apr-23
(25kW and above)","Jul-23
(25kW and above)
[Note 4]","Oct-23
(50kW and above)
[Note 4]","Jan-24
(50kW and above)","Apr-24
(50kW and above)","Jul-24
(50kW and above)","Oct-24 
(50kW and above) [Note 14]",Jan-25 (50kW and above),Apr-25 (50kW and above),Jul-25 (50kW and above)
K02000001,United Kingdom,"2,495","2,829","3,107","3,206","3,530","3,880","4,259","4,551","4,923","5,156","5,494","5,974","6,395","6,887","7,647","8,461","8,908","10,118","11,590","12,474","13,683","14,448","15,446","16,677"
K03000001,Great Britain,"2,476","2,810","3,088","3,187","3,508","3,860","4,239","4,530","4,902","5,134","5,469","5,953","6,373","6,861","7,610","8,404","8,853","10,040","11,457","12,323","13,530","14,284","15,256","16,489"
E92000001,England,"2,008","2,288","2,526","2,615","2,909","3,214","3,523","3,732","4,058","4,258","4,541","4,965","5,325","5,631","6,253","6,974","7,402","8,428","9,576","10,314","11,356","12,070","12,712","13,694"
E12000001,North East,98,108,117,118,156,172,183,209,229,230,252,282,259,283,336,353,337,386,422,419,539,539,590,636
E06000047,County Durham,13,13,14,14,15,19,21,24,26,29,36,38,42,52,55,60,67,70,77,81,95,97,124,127
E06000005,Darlington,2,2,2,2,3,3,3,5,4,4,4,4,4,5,5,7,6,6,9,8,9,6,13,12
E06000001,Hartlepool,0,0,1,1,1,1,1,2,3,3,3,3,2,4,6,5,5,8,8,8,8,8,8,14
E06000002,Middlesbrough,4,6,6,6,6,7,7,7,7,7,11,11,11,11,15,15,16,18,23,23,24,24,24,25
E06000057,Northumberland,24,26,26,26,38,43,47,58,73,71,71,84,65,69,72,78,65,65,65,43,122,128,133,143
E06000003,Redcar and Cleveland,1,1,1,1,2,2,4,5,5,5,5,5,9,9,13,13,13,13,13,14,15,14,14,17
E06000004,Stockton-on-Tees,9,9,10,10,12,12,12,12,12,12,13,14,14,19,25,25,25,34,37,36,40,43,42,48
E11000007,Tyne and Wear (Metropolitan County),45,51,57,58,79,85,88,96,99,99,109,123,112,114,145,150,140,172,190,206,226,219,232,250
E08000037,Gateshead,12,13,14,15,18,19,18,19,21,18,24,27,23,23,43,47,48,67,73,76,80,75,80,93
E08000021,Newcastle upon Tyne,4,5,6,6,18,18,20,25,25,26,27,30,28,30,32,32,29,35,39,48,50,43,46,52
E08000022,North Tyneside,2,4,7,7,13,15,15,14,15,18,18,24,20,19,19,20,18,24,26,26,29,22,23,22
E08000023,South Tyneside,8,8,8,8,8,9,9,11,11,11,14,14,14,11,11,11,6,5,8,7,10,12,12,11
